mtn,state,latitude,longitude,pass,access,nbr_runs,acreage,base,summit,vertical,avg_snowfall,proj_days
JUNE MOUNTAIN,CA,37.771743,-119.089736,IKON,Unlimited,43,1500,7545,100090,2590,250,128
MAMMOTH MOUNTAIN,CA,37.631244,-119.032634,IKON,Unlimited,150,3500,7953,11053,3100,400,213
BIG BEAR MOUNTAIN RESORT,CA,34.228613,-116.86103,IKON,Unlimited,18,26,600,1250,650,55,60
PALLISADES TAHOE,CA,39.197997,-120.235513,IKON,Unlimited,245,6000,6200,9050,2850,400,196
CRYSTAL MOUNTAIN,WA,46.935723,-121.474876,IKON,Unlimited,86,2600,4400,7012,3100,486,142
THE SUMMIT AT SNOQUALMIE,WA,47.424311,-121.415709,IKON,7 Days total,65,1994,2840,3865,1025,428,140
MT. BACHELOR,OR,44.003418,-121.678685,IKON,7 Days total,119,4323,5700,9065,3365,462,177
SCHWEITZER,ID,48.368,-116.6227,IKON,7 Days total,92,2900,4000,6400,2400,300,142
STEAMBOAT,CO,40.460002,-106.803983,IKON,Unlimited,169,2965,6900,10568,3668,336,149
ASPEN SNOWMASS,CO,39.21207,-106.948353,IKON,7 Days total,336,5517,8104,12510,4406,300,148
WINTER PARK RESORT,CO,39.887676,-105.762388,IKON,Unlimited,161,3081,9000,12060,3060,360,169
COPPER MOUNTAIN,CO,39.50241,-106.151178,IKON,Unlimited,150,2527,9712,12313,2738,300,163
ARAPAHOE BASIN SKI AREA,CO,39.642677,-105.871865,IKON,7 Days total,,,,,,,
ELDORA MOUNTAIN RESORT,CO,39.937377,-105.582625,IKON,Unlimited,,,,,,,
BIG SKY RESORT,MT,45.28594,-111.401197,IKON,7 Days total,,,,,,,
JACKSON HOLE MOUNTAIN RESORT,WY,43.587724,-110.82794,IKON,7 Days total,,,,,,,
TAOS SKI VALLEY,NM,36.595786,-105.449757,IKON,7 Days total,,,,,,,
DEER VALLEY RESORT,UT,40.637547,-111.478253,IKON,7 Days total,,,,,,,
SOLITUDE MOUNTAIN RESORT,UT,40.620064,-111.591831,IKON,Unlimited,,,,,,,
BRIGHTON,UT,40.598651,-111.582768,IKON,7 Days total,,,,,,,
ALTA,UT,40.590623,-111.638804,IKON,7 Days total,,,,,,,
SNOWBIRD,UT,40.582613,-111.655969,IKON,7 Days total,,,,,,,
BOYNE HIGHLANDS,MI,45.470965,-84.935438,IKON,7 Days total,,,,,,,
BOYNE MOUNTAIN,MI,45.163611,-84.929781,IKON,7 Days total,,,,,,,
